gagnasafn,rod,lykill,dags,gildi,texti
skilgreiningar,evru_hicp,fastar,,NaN,"HICP-verðbólga evrusvæðisins, 12 mánaða breyting í prósentum, apríl 2026. Sótt: Eurostat, tafla prc_hicp_manr, https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_manr/"
skilgreiningar,evru_vaent,fastar,,NaN,"Vænt verðbólga evrusvæðisins í prósentum: HICP-spá framkvæmdastjórnar ESB fyrir 2026 og 2027, meðaltal. Sótt: vorspá 2026, https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/economic-forecasts/spring-2026-economic-forecast-slowdown-growth-energy-shock-drives-inflation_en"
skilgreiningar,evru_markmid,fastar,,NaN,"Verðbólgumarkmið Seðlabanka Evrópu í prósentum. Sjá: https://www.ecb.europa.eu/mopo/strategy/pricestab/html/index.en.html"
skilgreiningar,isl_hicp,fastar,,NaN,"HICP-verðbólga Íslands, 12 mánaða breyting í prósentum, apríl 2026. Sótt: Eurostat, sama tafla og evru_hicp."
skilgreiningar,lan_hofudstoll_mkr,fastar,,NaN,"Höfuðstóll viðmiðunarláns heimilisdæmisins í m.kr.: 85 prósent af 70,6 m.kr. kaupverði dæmigerðrar fyrstu íbúðar 2025. Sótt: Mælaborð fyrstu kaupenda, Húsnæðis- og mannvirkjastofnun, https://hms.is/"
skilgreiningar,lan_ar,fastar,,NaN,"Lánstími viðmiðunarlánsins í árum. Forsenda greinarinnar: jafngreiðslulán til 25 ára."
skilgreiningar,r_island_verdtryggt,fastar,,NaN,"Raunvextir verðtryggðra íbúðalána í prósentum, markaðstala mars 2026. Vextir verðtryggðra lána eru raunvextir samkvæmt skilgreiningu. Sótt: https://www.visir.is/g/20262858896d/bankarnir-byrjadir-ad-haekka-vexti og https://www.sedlabanki.is/hagtolur/"
skilgreiningar,r_island_overdtryggt,fastar,,NaN,"Raunvextir óverðtryggðra breytilegra íbúðalána í prósentum. REIKNAÐ: Fisher-samband af 9,19 prósent nafnvöxtum og 3,5 prósent væntri verðbólgu; sjá utskyringar."
skilgreiningar,r_evra_grunnmat,fastar,,NaN,"Raunvextir nýrra íbúðalána á evrusvæðinu í prósentum, grunnmat. REIKNAÐ: Fisher-samband af 3,44 prósent nafnvöxtum (ECB MIR, apríl 2026) og 2,65 prósent væntri verðbólgu; sjá utskyringar. Nafnvextir: https://www.ecb.europa.eu/press/stats/mfi/html/ecb.mir2606~2665fb5ea4.en.html"
skilgreiningar,r_evra_markmid,fastar,,NaN,"Raunvextir evrusvæðisins miðað við 2 prósent verðbólgumarkmið, í prósentum. REIKNAÐ: Fisher-samband af 3,44 og 2,00; sjá utskyringar."
skilgreiningar,skuldir_heimila_makr,fastar,,NaN,"Útistandandi íbúðalán heimila í ma.kr., 4. ársfjórðungur 2025. Sótt: Seðlabanki Íslands, fjármálareikningar fjármálafyrirtækja, https://cb.is/news-and-publications/article/financial-accounts-of-financial-corporations-q4-2025"
skilgreiningar,vlf_makr,fastar,,NaN,"Verg landsframleiðsla Íslands 2025 í ma.kr. Sótt: Hagstofa Íslands, þjóðhagsreikningar, https://www.statice.is/"
skilgreiningar,landsbanki_overdtryggt_breytilegt,fastar,,NaN,"Breytilegir óverðtryggðir íbúðalánavextir Landsbankans í prósentum, júní 2026. Notað í APRC/ÁHK-nálgun svo vextir og gjöld komi úr sömu heimild. Sótt: https://www.landsbankinn.is/vextir-og-verdskra"
skilgreiningar,gjald_lantoku,fastar,,NaN,"Lántökugjald Landsbankans í krónum. Sótt: verðskrá, https://www.landsbankinn.is/vextir-og-verdskra"
skilgreiningar,gjald_greidslumat,fastar,,NaN,"Gjald fyrir greiðslumat hjóna eða sambúðarfólks í krónum. Sótt: verðskrá Landsbankans."
skilgreiningar,gjald_vedbokarvottord,fastar,,NaN,"Gjald fyrir veðbókarvottorð í krónum. Sótt: verðskrá Landsbankans."
skilgreiningar,gjald_rafraen_thinglysing,fastar,,NaN,"Gjald fyrir rafræna þinglýsingu í krónum. Sótt: verðskrá Landsbankans."
skilgreiningar,gjald_umsysla_thinglysing,fastar,,NaN,"Umsýslugjald banka vegna rafrænnar þinglýsingar í krónum, helmingur af 1.990 kr. gjaldi. Sótt: verðskrá Landsbankans."
skilgreiningar,r_island,svidsmyndir,,NaN,"Íslenskt raunvaxtaviðmið hverrar sviðsmyndar í prósentum: varfaert og midmat nota verðtryggðu markaðstöluna 4,50; haerra notar 5,50 (óverðtryggt, Fisher). Sjá fastar og utskyringar."
skilgreiningar,r_evra,svidsmyndir,,NaN,"Evru-raunvaxtaviðmið hverrar sviðsmyndar í prósentum: varfaert notar 1,41 (verðbólgumarkmið); midmat og haerra nota 0,77 (grunnmat). Sjá fastar og utskyringar."
skilgreiningar,er_evra,tafla_raunvextir,,NaN,"1 ef landið notar evru (eða er evrusvæðið sjálft), annars 0."
skilgreiningar,ibudalanavextir,tafla_raunvextir,,NaN,"Vextir nýrra íbúðalána í prósentum, apríl 2026. Evrulönd: samsett vísitala ECB um lántökukostnað heimila vegna húsnæðiskaupa (MIR A2C, árlegir umsamdir vextir án gjalda). Sótt: ECB Data Portal, https://data.ecb.europa.eu/ Lönd utan evru: innlendar heimildir. Ísland: bankavextir mars 2026, sjá r_island_verdtryggt. Verðtryggða íslenska línan er raunvextir samkvæmt skilgreiningu."
skilgreiningar,hicp,tafla_raunvextir,,NaN,"HICP-verðbólga hvers lands, 12 mánaða breyting í prósentum, apríl 2026. Birt til samhengis; ekki notuð í grunnmatið. Sótt: Eurostat, prc_hicp_manr."
skilgreiningar,vaent_land,tafla_raunvextir,,NaN,"Vænt verðbólga hvers lands í prósentum: HICP-spá framkvæmdastjórnar ESB (vorspá 2026, meðaltal 2026-2027) fyrir ESB-lönd. Ísland: Peningamál Seðlabanka Íslands, https://sedlabanki.is/frettir-og-utgefid-efni/grein/peningamal-2026-1 Noregur: Norges Bank Monetary Policy Report, https://www.norges-bank.no/en/topics/Monetary-policy/Monetary-Policy-Report/"
skilgreiningar,vaent_grunn,tafla_raunvextir,,NaN,"Vænt verðbólga á myntsvæðisgrunni í prósentum: evrusvæðisspáin (2,65) fyrir öll evrulönd; innlend spá fyrir lönd með eigin mynt. Grunnviðmið greinarinnar."
skilgreiningar,markmid,tafla_raunvextir,,NaN,"Verðbólgumarkmið viðkomandi myntsvæðis í prósentum. Danmörk er fasttengd evru og metin með 2 prósent evruviðmiði."
skilgreiningar,aprc,tafla_raunvextir,,NaN,"Árleg hlutfallstala kostnaðar (APRC/ÁHK) í prósentum, apríl 2026. Evrulönd: birt APRC-röð ECB MIR. Ísland: reiknað út frá kjörum og verðskrá Landsbankans; sjá utskyringar (aprc_island)."
skilgreiningar,flokkur,mynd_krosslond,,NaN,"Flokkun lands eftir gjaldmiðlafyrirkomulagi: iceland, own (eigin mynt), own_peg (fasttengd evru), euro (evruríki), euro_area (evrusvæðið í heild)."
skilgreiningar,nafnvextir,mynd_krosslond,,NaN,"Vextir nýrra íbúðalána í prósentum; sama heimild og ibudalanavextir í tafla_raunvextir."
skilgreiningar,vaent_land,mynd_krosslond,,NaN,"Vænt verðbólga hvers lands í prósentum; sama heimild og vaent_land í tafla_raunvextir."
skilgreiningar,vaent_notud,mynd_krosslond,,NaN,"Vænt verðbólga sem dregin er frá nafnvöxtum í myndinni, í prósentum: evrusvæðisspáin fyrir evrulönd, innlend spá fyrir lönd með eigin mynt."
